task_name,task_required_days,task_start_date,task_finish_date,task_status,task_milestone,project_name,task_assignee,task_work_hours
要件定義・仕様検討,5,2025/03/01,2025/03/07,完了,○,#案件名#,自社,80.0
設備メーカー選定・発注,10,2025/03/10,2025/03/24,完了,-,#案件名#,自社,40.0
レイアウト設計,10,2025/03/25,2025/04/07,完了,-,#案件名#,自社,60.0
電気・配管工事計画,10,2025/04/08,2025/04/21,完了,-,#案件名#,自社,30.0
安全審査,10,2025/04/22,2025/05/08,進行中,-,#案件名#,自社,24.0
既存設備撤去作業,10,2025/05/09,2025/05/22,未着手,-,#案件名#,外部業者,120.0
床面・電気工事,11,2025/05/23,2025/06/06,未着手,-,#案件名#,外部業者,160.0
設備搬入・据付,8,2025/06/09,2025/06/18,未着手,○,#案件名#,外部業者,200.0
ユーティリティ接続,11,2025/06/19,2025/07/03,未着手,-,#案件名#,外部業者,80.0
単体試運転,8,2025/07/04,2025/07/15,未着手,-,#案件名#,自社,60.0
プログラム調整,10,2025/07/16,2025/07/30,未着手,-,#案件名#,自社,100.0
統合試運転,10,2025/07/31,2025/08/14,未着手,○,#案件名#,自社,120.0
不具合対応・調整,10,2025/08/15,2025/08/28,未着手,-,#案件名#,自社,80.0
操作マニュアル作成,10,2025/08/29,2025/09/11,未着手,-,#案件名#,自社,40.0
作業者教育・トレーニング,10,2025/09/12,2025/09/29,未着手,-,#案件名#,自社,60.0
試作品製造,10,2025/09/30,2025/10/14,未着手,-,#案件名#,自社,100.0
品質検証,10,2025/10/15,2025/10/28,未着手,○,#案件名#,自社,120.0
量産試作,10,2025/10/29,2025/11/12,未着手,-,#案件名#,自社,80.0
工程能力評価,10,2025/11/13,2025/11/27,未着手,-,#案件名#,自社,60.0
量産移行判定会議,10,2025/11/28,2025/12/11,未着手,○,#案件名#,自社,16.0
量産立ち上げ支援,10,2025/12/12,2025/12/25,未着手,-,#案件名#,自社,100.0
プロジェクト完了報告,10,2025/12/26,2026/01/09,未着手,○,#案件名#,自社,24.0
