project_id,project_name,manager,division,factory,process,line,status,created_at,task_id,task_name,task_start_date,task_finish_date,task_status,task_milestone,task_assignee,task_work_hours
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3345,要件定義・仕様検討,2025/03/01,2025/03/15,完了,○,自社,80.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3346,設備メーカー選定・発注,2025/03/16,2025/03/31,完了,-,自社,40.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3347,レイアウト設計,2025/04/01,2025/04/15,完了,-,自社,60.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3348,電気・配管工事計画,2025/04/01,2025/04/10,完了,-,自社,30.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3349,安全審査,2025/04/11,2025/04/20,進行中,-,自社,24.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3350,既存設備撤去作業,2025/04/21,2025/04/30,未着手,-,外部業者,120.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3351,床面・電気工事,2025/05/01,2025/05/15,未着手,-,外部業者,160.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3352,設備搬入・据付,2025/05/16,2025/05/31,未着手,○,外部業者,200.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3353,ユーティリティ接続,2025/06/01,2025/06/07,未着手,-,外部業者,80.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3354,単体試運転,2025/06/08,2025/06/15,未着手,-,自社,60.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3355,プログラム調整,2025/06/16,2025/06/30,未着手,-,自社,100.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3356,統合試運転,2025/07/01,2025/07/15,未着手,○,自社,120.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3357,不具合対応・調整,2025/07/16,2025/07/31,未着手,-,自社,80.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3358,操作マニュアル作成,2025/07/16,2025/07/31,未着手,-,自社,40.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3359,作業者教育・トレーニング,2025/08/01,2025/08/15,未着手,-,自社,60.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3360,試作品製造,2025/08/16,2025/08/31,未着手,-,自社,100.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3361,品質検証,2025/09/01,2025/09/15,未着手,○,自社,120.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3362,量産試作,2025/09/16,2025/09/30,未着手,-,自社,80.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3363,工程能力評価,2025/10/01,2025/10/15,未着手,-,自社,60.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3364,量産移行判定会議,2025/10/16,2025/10/18,未着手,○,自社,16.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3365,量産立ち上げ支援,2025/10/19,2025/10/31,未着手,-,自社,100.0
1,新規プロジェクト,山田太郎,D001,F001,P001,L001,進行中,2025-03-04 21:23:14,3366,プロジェクト完了報告,2025/11/01,2025/11/07,未着手,○,自社,24.0
2,aaaaaaaaaaaa,aaaa,D001,F001,P001,L001,進行中,2025-03-04 21:23:24,3323,要件定義・仕様検討,2025/03/01,2025/03/15,完了,○,自社,80.0
